,start MTU (UTC),end MTU (UTC),Day-ahead Price [EUR/MWh] BZN|NO1,Day-ahead Price [EUR/MWh] BZN|NO2,Day-ahead Price [EUR/MWh] BZN|NO3,Day-ahead Price [EUR/MWh] BZN|NO5,Day-ahead Price [EUR/MWh] BZN|SE3,Actual Total Load [MW] - BZN|NO1,Actual Total Load [MW] - BZN|NO2,Actual Total Load [MW] - BZN|NO3,Actual Total Load [MW] - BZN|NO5,Actual Total Load [MW] - BZN|SE3,Biomass - BZN|NO1,Fossil Gas - BZN|NO1,Hydro Run-of-river and poundage - BZN|NO1,Hydro Water Reservoir - BZN|NO1,Waste - BZN|NO1,Wind Onshore - BZN|NO1,Fossil Gas - BZN|NO2,Hydro Pumped Storage Aggregated- BZN|NO2,Hydro Run-of-river and poundage - BZN|NO2,Hydro Water Reservoir - BZN|NO2,Waste - BZN|NO2,Wind Onshore - BZN|NO2,Hydro Pumped Storage Aggregated- BZN|NO3,Hydro Run-of-river and poundage - BZN|NO3,Hydro Water Reservoir - BZN|NO3,Other - BZN|NO3,Other renewable - BZN|NO3,Waste - BZN|NO3,Wind Onshore - BZN|NO3,Fossil Gas - BZN|NO5,Hydro Pumped Storage Aggregated- BZN|NO5,Hydro Run-of-river and poundage - BZN|NO5,Hydro Water Reservoir - BZN|NO5,Waste - BZN|NO5,Fossil Gas - BZN|SE3,Hydro Water Reservoir - BZN|SE3,Nuclear - BZN|SE3,Other - BZN|SE3,Solar - BZN|SE3,Wind Onshore - BZN|SE3,CBF BZN|NO2 > BZN|NO1 [MW],CBF BZN|NO1 > BZN|NO2 [MW],CBF BZN|NO3 > BZN|NO1 [MW],CBF BZN|NO1 > BZN|NO3 [MW],CBF BZN|NO5 > BZN|NO1 [MW],CBF BZN|NO1 > BZN|NO5 [MW],CBF BZN|SE3 > BZN|NO1 [MW],CBF BZN|NO1 > BZN|SE3 [MW],Stored Energy Value [MWh] - BZN|NO1,Stored Energy Value [MWh] - BZN|NO2,Stored Energy Value [MWh] - BZN|NO3,Stored Energy Value [MWh] - BZN|NO5,Stored Energy Value [MWh] - BZN|SE3
0,2022-01-01 00:00:00,2022-01-01 01:00:00,129.3,129.3,41.33,129.3,41.33,4701,4440,3463,1991,9612,0,0,878,321,8,172,0,1,629,1874,5,244,40,389,2166,0,12,3,219,82,66,227,1759,19,0.0,818.0,5842.0,851.0,0.0,999.0,1242,0,371,0,594,0,1065,0,3018018.2621594463,16339423.39356541,5335152.526628322,8232288.625010274,1593721.4804114918
1,2022-01-01 01:00:00,2022-01-01 02:00:00,132.08,132.08,42.18,132.08,42.18,4681,4480,3388,1969,9601,0,0,897,330,8,151,0,1,627,2012,4,115,42,390,2187,0,12,2,170,82,66,216,1890,20,0.0,818.0,5839.0,858.0,0.0,958.0,1222,0,383,0,676,0,927,0,3016656.963821932,16336598.238801049,5334191.536017326,8229931.285614485,1593151.619310064
2,2022-01-01 02:00:00,2022-01-01 03:00:00,111.44,111.44,44.37,111.44,44.37,4620,4424,3387,1911,9552,0,0,885,275,8,160,0,1,624,1643,4,55,45,405,2183,0,12,1,126,82,65,215,1460,20,0.0,838.0,5839.0,859.0,0.0,888.0,1679,0,362,0,436,0,748,0,3015298.152224986,16333784.951912588,5333256.021794297,8227585.933616077,1592581.290956836
3,2022-01-01 03:00:00,2022-01-01 04:00:00,112.35,112.35,37.67,112.35,37.67,4645,4386,3376,1996,9449,0,0,890,269,8,148,0,1,624,1631,4,61,34,393,2076,0,12,0,81,82,65,209,1394,20,0.0,842.0,5840.0,856.0,0.0,788.0,1668,0,324,0,345,0,918,0,3013941.8109542094,16330983.37866207,5332345.805585769,8225252.468357569,1592010.5045394541
4,2022-01-01 04:00:00,2022-01-01 05:00:00,113.9,113.9,39.7,113.9,39.7,4670,4375,3427,1953,9614,0,0,892,300,8,147,0,1,605,1642,4,88,38,398,2098,0,11,0,45,82,65,210,1488,19,0.0,841.0,5839.0,880.0,0.0,734.0,1697,0,339,0,412,0,826,0,3012587.9235952063,16328193.364811549,5331460.709018278,8222930.7891814755,1591439.2692455645
5,2022-01-01 05:00:00,2022-01-01 06:00:00,122.25,122.25,40.59,122.25,40.59,4802,4390,3439,1975,9920,0,0,900,266,9,126,0,1,593,1623,4,125,38,394,2129,0,12,1,63,82,88,201,1474,18,0.0,868.0,5839.0,913.0,0.0,646.0,1657,0,358,0,442,0,998,0,3011236.47373358,16325414.75612307,5330600.553718357,8220620.795430317,1590867.5942628132
6,2022-01-01 06:00:00,2022-01-01 07:00:00,118.58,118.58,43.26,118.58,43.26,4879,4408,3499,2007,10269,0,0,882,260,8,98,0,1,589,1502,7,257,45,412,2236,0,11,0,114,82,89,225,1363,12,0.0,903.0,5840.0,987.0,0.0,564.0,1605,0,399,0,431,0,1145,0,3009887.444954934,16322647.398358686,5329765.161312543,8218322.38644661,1590295.4887788463
7,2022-01-01 07:00:00,2022-01-01 08:00:00,118.47,118.47,49.44,118.47,49.66,5041,4468,3480,2058,10534,0,0,883,293,8,62,0,1,593,1506,9,503,47,417,2335,0,11,0,278,82,93,227,1419,13,0.0,920.0,5840.0,1021.0,0.0,471.0,1776,0,436,0,516,0,981,0,3008540.820844873,16319891.137280436,5328954.353427369,8216035.461572875,1589722.9619813105
8,2022-01-01 08:00:00,2022-01-01 09:00:00,117.86,117.86,49.46,117.86,70.05,5138,4525,3478,2095,10803,0,0,887,344,9,46,0,1,606,1567,9,742,48,411,2360,0,10,0,529,81,94,234,1563,17,0.0,926.0,5840.0,1028.0,1.0,397.0,2015,0,460,0,657,0,649,0,3007196.5849889964,16317145.818650378,5328167.951689371,8213759.920151626,1589150.0230578512
9,2022-01-01 09:00:00,2022-01-01 10:00:00,120.03,120.03,49.27,120.03,76.79,5311,4507,3556,2122,11147,0,0,882,337,9,31,0,1,608,1632,9,1017,48,406,2365,0,14,0,775,82,94,223,1661,15,0.0,944.0,5840.0,1082.0,4.0,307.0,2217,0,492,0,773,0,488,0,3005854.720972911,16314411.288230557,5327405.777725081,8211495.66152538,1588576.6811961147
10,2022-01-01 10:00:00,2022-01-01 11:00:00,117.07,117.07,48.89,117.07,84.1,5443,4637,3681,2150,11281,0,0,883,332,10,16,0,1,615,1900,8,1103,47,402,2368,0,11,2,1014,82,93,216,1582,13,0.0,953.0,5884.0,1107.0,7.0,252.0,2392,0,488,0,771,0,452,0,3004515.2123822183,16311687.391783025,5326667.653161037,8209242.585036661,1588002.9455837477
11,2022-01-01 11:00:00,2022-01-01 12:00:00,117.17,117.17,48.45,117.17,94.74,5447,4723,3681,2170,11219,0,0,882,327,9,34,0,1,614,1749,8,1143,47,399,2376,0,12,2,1272,82,93,216,1511,13,0.0,963.0,6062.0,1111.0,6.0,230.0,2266,0,529,0,730,0,587,0,3003178.042802523,16308973.975069823,5325953.39962377,8207000.590027977,1587428.8254083956
12,2022-01-01 12:00:00,2022-01-01 13:00:00,120.08,120.08,44.21,120.08,96.8,5423,4748,3704,2151,11238,0,0,885,287,9,59,0,1,608,1688,8,1159,47,392,2310,0,11,1,1425,82,92,213,1432,13,0.0,965.0,6208.0,1113.0,4.0,221.0,2089,0,548,0,664,0,784,0,3001843.1958194277,16306270.88385301,5325262.83873982,8204769.575841856,1586854.3298577052
13,2022-01-01 13:00:00,2022-01-01 14:00:00,124.54,124.54,42.38,124.54,97.17,5517,4930,3768,2177,11394,0,0,884,307,10,100,0,1,610,2027,7,1110,48,391,2284,0,12,0,1487,83,94,217,1763,18,0.0,977.0,6275.0,1112.0,1.0,270.0,2022,0,538,0,852,0,696,0,3000510.6550185354,16303577.963894624,5324595.792135717,8202549.441820811,1586279.4681193223
14,2022-01-01 14:00:00,2022-01-01 15:00:00,124.89,124.89,42.09,124.89,101.27,5616,4965,3775,2203,11889,0,0,891,361,9,122,0,1,602,2260,5,1134,47,386,2257,0,12,1,1515,82,93,210,1895,15,0.0,1103.0,6275.0,1113.0,0.0,373.0,2123,0,503,0,878,0,605,0,2999180.4039854496,16300895.06095672,5323952.0814379975,8200340.087307356,1585704.249380893
15,2022-01-01 15:00:00,2022-01-01 16:00:00,135.59,135.59,42.3,135.59,126.6,5693,5022,3763,2240,12003,0,0,881,498,10,138,0,1,602,2697,4,1105,47,389,2238,0,11,3,1527,82,93,242,1918,14,0.0,1252.0,6329.0,1113.0,0.0,537.0,1824,0,490,0,896,0,882,0,2997852.4263057737,16298222.020801343,5323331.528273196,8198141.411644015,1585128.6828300636
16,2022-01-01 16:00:00,2022-01-01 17:00:00,149.97,149.97,40.59,149.97,149.97,5756,4997,3749,2194,12140,0,0,878,488,10,131,0,1,604,3837,4,1035,40,393,2230,0,11,2,1542,82,110,259,2003,14,0.0,1262.0,6344.0,1125.0,0.0,739.0,1595,0,522,0,996,0,1035,0,2996526.7055651126,16295558.689190548,5322733.954267849,8195953.314173305,1584552.7776544807
17,2022-01-01 17:00:00,2022-01-01 18:00:00,150.71,150.71,40.11,150.71,146.33,5622,4954,3721,2174,12095,0,0,888,528,10,181,0,1,610,4023,4,924,40,397,2185,0,11,1,1537,84,108,261,2043,15,0.0,1262.0,6344.0,1126.0,0.0,972.0,1303,0,489,0,997,0,1174,0,2995203.2253490654,16292904.911886374,5322159.181048488,8193775.694237738,1583976.543041789
18,2022-01-01 18:00:00,2022-01-01 19:00:00,143.81,143.81,38.52,143.81,140.28,5473,4915,3650,2118,11778,0,0,892,374,9,190,0,1,624,3273,4,650,36,386,2153,0,12,0,1560,102,104,268,1636,15,0.0,1252.0,6349.0,1125.0,0.0,1173.0,1162,0,530,0,738,0,1548,0,2993881.969243239,16290260.534650877,5321607.030241649,8191608.451179836,1583399.988179636
19,2022-01-01 19:00:00,2022-01-01 20:00:00,140.36,140.36,34.71,140.36,121.88,5384,4817,3548,2071,11484,0,0,880,335,10,187,0,1,630,2582,5,468,35,355,2084,0,12,2,1602,83,103,225,1483,14,0.0,1227.0,6353.0,1123.0,0.0,1441.0,1215,0,528,0,640,0,1514,0,2992562.9208332375,16287625.403246103,5321077.323473868,8189451.48434212,1582823.122255668
20,2022-01-01 20:00:00,2022-01-01 21:00:00,139.85,139.85,32.48,139.85,102.61,5243,4605,3545,2045,11245,0,0,878,287,10,181,0,1,637,2291,4,365,35,349,2029,0,12,0,1515,82,91,228,1393,13,0.0,1073.0,6354.0,1124.0,0.0,1686.0,1183,0,523,0,599,0,1505,0,2991246.0637046597,16284999.363434093,5320569.882371677,8187304.693067098,1582245.9544575294
21,2022-01-01 21:00:00,2022-01-01 22:00:00,135.08,135.08,32.88,135.08,95.12,5030,4502,3315,2008,11074,0,0,877,278,9,163,0,1,637,2009,8,358,35,363,2031,0,12,1,1456,85,91,226,1296,19,0.0,925.0,6354.0,1115.0,0.0,1847.0,1085,0,523,0,586,0,1439,0,2989931.3814431126,16282382.260976912,5320084.5285616135,8185167.976697297,1581668.4939728682
22,2022-01-01 22:00:00,2022-01-01 23:00:00,123.42,123.42,32.44,123.42,83.11,4862,4414,3228,1948,10872,0,0,891,291,9,158,0,1,637,1717,9,392,36,367,1980,0,12,0,1436,83,92,195,1273,22,0.0,861.0,6356.0,1036.0,0.0,1917.0,1364,0,484,0,580,0,1034,0,2988618.8576341993,16279773.9416366,5319621.083670212,8183041.2345752325,1581090.74998933
23,2022-01-01 23:00:00,2022-02-01 00:00:00,113.56,113.56,32.03,113.56,34.73,4735,4179,3360,1917,10578,0,0,890,313,9,150,0,1,575,1542,9,574,35,373,1876,0,12,2,1377,85,68,188,1442,21,0.0,801.0,6359.0,944.0,0.0,1955.0,853,0,503,0,640,0,1291,0,2987308.4758635215,16277174.2511752,5319179.369324005,8180924.366043419,1580512.7316945607
24,2022-02-01 00:00:00,2022-02-01 01:00:00,111.66,111.66,31.78,111.66,34.39,4594,4070,3272,1871,10245,0,0,892,351,8,84,0,1,556,1666,9,655,36,376,1929,0,12,2,1299,81,68,180,1295,21,0.0,782.0,6357.0,878.0,0.0,1834.0,816,0,498,0,584,0,1253,0,2135237.313746021,14183282.205019237,4855548.0787427705,6688155.187567647,1255475.555517332
25,2022-02-01 01:00:00,2022-02-01 02:00:00,106.53,106.53,31.8,106.53,34.36,4501,4148,3222,1858,10022,0,0,896,337,8,43,0,1,551,1628,8,624,35,387,1892,0,11,1,1207,81,67,191,1150,21,0.0,774.0,6359.0,828.0,0.0,1724.0,769,0,483,0,493,0,1362,0,2134018.7663960904,14180211.746741936,4853816.502912504,6685696.926153291,1254972.9522866218
